ma_buucuc,ma_cn,ma_quanhuyen,ten_quanhuyen
DAHTPG,HNI,14,Huyện Mê Linh
HPTHH,LDG,6733,HUYỆN ĐỨC TRỌNG
NDMT,CNTCT,5574,QUẬN CẨM LỆ
PKDHUE,HUE,,
PKDTHA,THA,,
DVCBN1,LOG,1280,QUẬN BẮC TỪ LIÊM
VPCPSN,VPC,,
CH0329,NBH,,
LGHG,VTU,,
THHDA,HCM,,
NVQ,HCM,,
THA001,THA,,
KHXN,DLK,6310,THÀNH PHỐ BUÔN MA THUỘT
HCM003,HCM,,
MGHM,LCI,,
KDQTTTKDCP,FFM,,
HBLADH,LAN,8537,HUYỆN ĐỨC HÒA
HBKGPQ,KGG,9222,HUYỆN PHÚ QUỐC
NTNDHI,NTN,6610,THÀNH PHỐ PHAN RANG-THÁP CHÀM
YMO,NBH,4336,HUYỆN YÊN MÔ
NOQ,NBH,4326,HUYỆN NHO QUAN
VPCUQ03,VPC,,
TDP,NBH,4333,THÀNH PHỐ TAM ĐIỆP
HBKGRG,KGG,9210,THÀNH PHỐ RẠCH GIÁ
CMUCM,CMU,9739,HUYỆN NĂM CĂN
TNTHBH,BTE,,
PLO,HNI,1390,HUYỆN SÓC SƠN
HCM004,HCM,,
DGQT,QNI,5718,HUYỆN BÌNH SƠN
HCC,HNI,1280,QUẬN BẮC TỪ LIÊM
TNMY,BGG,2310,THÀNH PHỐ BẮC GIANG
HBBPTT,BPC,8310,THÀNH PHỐ ĐỒNG XOÀI
TCLU,YBN,3226,Huyện Lục Yên
EAKNP,DLK,6334,HUYỆN EA KAR
HBHPQT,HPG,181008,Phường Hạ Lý
LHDM,HNI,1270,QUẬN HOÀNG MAI
VHVN,HUG,,
QBHLELI,QBH,5110,TP Đồng Hới
PKDDNG,DNG,,
DGG,HNI,,
TNKI,HCM,,
BMY,HCM,7330,"Huyện Củ Chi,"
NUTH,THA,4546,huyện như thanh
CUACM,CMU,9739,HUYỆN NĂM CĂN
HBTNTP,TNN,2568,THỊ XÃ PHỔ YÊN
BCQTBNH,BNH,2214,HUYỆN YÊN PHONG
HBLCBT,LCI,3341,HUYỆN BẢO THẮNG
PCLI,HNI,1250,QUẬN LONG BIÊN
NGG,PHO,2910,TP Việt Trì
ECODRM,HNI,,
HAGTHA2,HNI,,
NAT,HNI,1220,QUẬN CẦU GIẤY
HN03,HNI,1510,QUẬN HÀ ĐÔNG
GAMUDA,HNI,1270,QUẬN HOÀNG MAI
HN06,HNI,1250,QUẬN LONG BIÊN
HN08,HNI,1200,QUẬN THANH XUÂN
HNITHO,HNI,1240,QUẬN TÂY HỒ
KGMI,HNI,,
TT3HCM,HCM,7360,QUẬN TÂN BÌNH
HBGLPL,GLI,6010,THÀNH PHỐ PLEIKU
DLKVC,DLK,,
NBNSN,NBH,4310,THÀNH PHỐ NINH BÌNH
NBHG,NBH,4310,THÀNH PHỐ NINH BÌNH
HOHA,THA,4422,HUYỆN HOẰNG HÓA
BCVH,NAN,4610,THÀNH PHỐ VINH
PKDQBH,QBH,,
CHNTNN,AGG,,
BDG003,BDG,,
TLG,HNI,1360,Huyện đông anh
HBHGBQ,HGG,3148,HUYỆN BẮC QUANG
NCLM,HNI,,
TGGDBL,TGG,,
HBQBNT,QBH,,
TN2,CNTCT,1260,QUẬN NAM TỪ LIÊM
TOX,THA,4497,HUYỆN THỌ XUÂN
HBHPBH,HPG,,
NCU,NBH,4310,THÀNH PHỐ NINH BÌNH
LSNCLC,LSN,2418,huyện Cao Lộc
NMT,NBH,4310,THÀNH PHỐ NINH BÌNH
HBHDDG,HDG,,
TMY,HCM,,
HBHKSN,HBH,3515,HUYỆN KỲ SƠN
HNM01,HNM,4010,THÀNH PHỐ PHỦ LÝ
TGGDHP,TGG,8620,HUYỆN CHỢ GẠO
TUB,KHA,6535,HUYỆN VẠN NINH
LOGYVN,LOG,,
KMBI,HNI,1567,HUYỆN THANH OAI
MNE,BTN,8010,THÀNH PHỐ PHAN THIẾT
TTTK3K2,LOG,,
HBDBTG,DBN,3825,HUYỆN TUẦN GIÁO
HPP,DNI,8158,Nhơn Trạch
LOGBN,LOG,,
HBHBTH,HBH,,
XTT,HCM,,
LOGKHA,LOG,6537,HUYỆN DIÊN KHÁNH
KTTQG,TQG,,
BNH001,BNH,,
LOCY,HNI,,
KDDATTKDCP,CNTCT,1220,Cầu Giấy
VEHUG,BNH,,
TAHTI,HNI,,
LMKT1,LOG,,
VLGTA,VLG,,
ACU,HUE,5310,THÀNH PHỐ HUẾ
VNBH,HNI,,
VNTG,HNI,,
BOHA,LCI,,
LGHOA,CTO,9010,QUẬN NINH KIỀU
MLG,HNI,,
VPCTLU,VPC,2818,huyện Lập Thạch
LCI01,LCI,3334,THÀNH PHỐ LÀO CAI
HBCMLVL,CMU,9710,THÀNH PHỐ CÀ MAU
HGLU,VPC,2815,HUYỆN TAM DƯƠNG
PUKE,THA,,
VGXN,HNI,,
PTCLD,CNTCT,,
PDTTT,CNTCT,,
PKDHDG,HDG,,
PKDVPC,VPC,,
QNH004,QNH,,
PKDSLA,SLA,,
PKDLSN,LSN,,
KHETG,DNG,5574,QUẬN CẨM LỆ
CN-LSN,LSN,2410,Thành phố Lạng Sơn
PKDHNI,HNI,,
CTYHNI,HNI,1260,QUẬN NAM TỪ LIÊM
PKDHTH,HTH,,
PKDHCM,HCM,,
PKDKGG,KGG,,
PKDHUG,HUG,,
PKDCTO,CTO,,
PKDCMU,CMU,,
PKDLAN,LAN,,
PKDBTE,BTE,,
PKDKHA,KHA,,
PKDQNM,QNM,,
BHKH,AGG,,
HLAM,HCM,7560,QUẬN 7
HBHCPN,HCM,7250,QUẬN PHÚ NHUẬN
PKDQNH,QNH,,
DNTH,NAN,4638,HUYỆN DIỄN CHÂU
VPCUQ02,VPC,,
PKDNDH,NDH,,
PKDHYN,HYN,,
PKDHPG,HPG,,
HBHCTD,HCM,7200,QUẬN THỦ ĐỨC
HCM01,HCM,7600,QUẬN TÂN PHÚ
HCM11,HCM,7100,QUẬN 1
HITH,HCM,,
PKDHNM,HNM,,
PKDHGG,HGG,,
PKDBKN,BKN,,
HNI042,HNI,,
TN7,HNI,,
DGTYTM,HCM,7170,QUẬN BÌNH THẠNH
HBQTMT,QTI,,
NUA,THA,,
TITY,HNI,,
HPDG,HNI,,
GELEXC,HNI,1529,HUYỆN HOÀI ĐỨC
PXDG,CNTCT,,
PKSTT,CNTCT,,
PKDVLG,VLG,,
PKDSTG,STG,,
PKDDTP,DTP,,
PKDBLU,BLU,,
PKDVTU,VTU,,
PKDBPC,BPC,,
PKDPYN,PYN,,
PKDNTN,NTN,,
PKDBDH,BDG,,
PKDKTM,KTM,,
PTHN,HCM,,
HCM05,HCM,7400,QUẬN 10
HCM06,HCM,7620,QUẬN BÌNH TÂN
HBHCBH,HCM,7170,QUẬN BÌNH THẠNH
AHI,HCM,7270,QUẬN GÒ VẤP
HCM04,HCM,7200,QUẬN THỦ ĐỨC
PULG,HNI,1510,QUẬN HÀ ĐÔNG
CKI,HNI,1250,QUẬN LONG BIÊN
VTTBNAN,NAN,4610,THÀNH PHỐ VINH
PKDNBH,NBH,,
PKDNAN,NAN,,
PKDTBH,TBH,,
PKDBNH,BNH,,
PKDHBH,HBH,,
PKDYBN,YBN,,
PKDPHO,PHO,,
PKDLCU,LCU,,
PKDLCI,LCI,,
PKDDBN,DBN,,
PKDTQG,TQG,,
PKDTNN,TNN,,
PKDCBG,CBG,,
PKDBGG,BGG,,
TTQU10,HCM,7400,QUẬN 10
NNKE,HNI,1360,HUYỆN ĐÔNG ANH
QNH005,QNH,,
VPCLCG,VPC,,
BDGBHA,BDG,8239,THÀNH PHỐ THUẬN AN
HQVT,HCM,7560,QUẬN 7
VNCH,HNI,,
TGTU,HNI,,
QDG,HNI,,
HGMH,HNI,,
HASN,DNG,,
HBHBCB,HBH,,
PKDTNH,TNH,,
HBBKBK,BKN,2610,THÀNH PHỐ BẮC KẠN
NMA,HPG,1862,HUYỆN VĨNH BẢO
PKDTGG,TGG,,
PHO01,PHO,2910,THÀNH PHỐ VIỆT TRÌ
HBNDYD,NDH,,
HBBLLD,BLU,9610,THÀNH PHỐ BẠC LIÊU
SNM,TQG,3028,HUYỆN SƠN DƯƠNG
HNIHMI,HNI,1270,QUẬN HOÀNG MAI
RSI,KGG,9230,HUYỆN CHÂU THÀNH
VPCTTN,VPC,,
KST,HDG,1751,HUYỆN BÌNH GIANG
DSHDG,LOG,,
HN05,HNI,1360,HUYỆN ĐÔNG ANH
TT2HCM,HCM,7620,QUẬN BÌNH TÂN
TT4HCM,HCM,7560,QUẬN 7
BCLY,BGG,2366,HUYỆN HIỆP HÒA
TKDG,DTP,8731,THÀNH PHỐ SA ĐÉC
DSHYN,LOG,,
DSBNH,LOG,,
DSVPC,LOG,,
DSBPC,LOG,,
DSTNH,LOG,,
DSHCM,LOG,,
BTEPCLG,BTE,9326,HUYỆN GIỒNG TRÔM
BCQTBDG,BDG,8239,THÀNH PHỐ THUẬN AN
GPSN,BGG,2330,HUYỆN LỤC NGẠN
DVCBN2,LOG,,
BCQTHNI,HNI,1220,QUẬN CẦU GIẤY
GDSK,HNI,,
HGBG,HCM,,
PKDDNI,DNI,,
PKDDKG,DKG,,
PKDTVH,TVH,,
PKDAGG,AGG,,
PKDBDG,BDG,,
PKDLDG,LDG,,
PKDGLI,GLI,,
PKDDLK,DLK,,
PKDBTN,BTN,,
PKDQTI,QTI,,
PKDQNI,QNI,,
BTEVTH,BTE,9317,HUYỆN CHỢ LÁCH
DGKE,DNG,5568,QUẬN NGŨ HÀNH SƠN
BHDH,BDH,5910,THÀNH PHỐ QUI NHƠN
TTKT5,LOG,1420,HUYỆN MÊ LINH
PVCH,HCM,,
PYNHVG,PYN,6210,THÀNH PHỐ TUY HÒA
HCM68,HCM,7360,QUẬN TÂN BÌNH
TVHLT,TVH,9439,HUYỆN DUYÊN HẢI
NNDC,HCM,,
BCQTHCM,HCM,7360,QUẬN TÂN BÌNH
MTT,HNI,1260,QUẬN NAM TỪ LIÊM
NBHNSN,NBH,4310,THÀNH PHỐ NINH BÌNH
TNTY,BTE,9313,HUYỆN CHÂU THÀNH
HBLCLC,LCI,3334,THÀNH PHỐ LÀO CAI
VLGLHO,VLG,8913,HUYỆN LONG HỒ
HCM02,HCM,7270,QUẬN GÒ VẤP
2211,QNH,,
HNI039,HNI,,
QTI01,QTI,5210,THÀNH PHỐ ĐÔNG HÀ
TYPG,HNI,,
DVCMBC,LOG,1280,QUẬN BẮC TỪ LIÊM
2306,QNH,,
8753,NBH,,
11116,HNI,,
HCM08,HCM,,
DVCMNM,LOG,7290,QUẬN 12
DPC,BNH,2210,THÀNH PHỐ BẮC NINH
BAHN,VPC,2812,HUYỆN BÌNH XUYÊN
LIXA,HNI,1529,HUYỆN HOÀI ĐỨC
DNITHP,DNI,8110,THÀNH PHỐ BIÊN HÒA
16308,BNH,,
FFMTNN,FFM,,
TTA,HNI,,
LCI02,LCI,,
HNI040,HNI,,
VTUCLH,VTU,7910,THÀNH PHỐ VŨNG TÀU
CTO001,CTO,,
TGGHVG,TGG,8610,THÀNH PHỐ MỸ THO
TMI,HNI,1270,QUẬN HOÀNG MAI
PVN,HNI,1270,QUẬN HOÀNG MAI
NANMSN,NAN,4714,HUYỆN ĐÔ LƯƠNG
NMS,BNH,2210,THÀNH PHỐ BẮC NINH
HGLC,NAN,4610,THÀNH PHỐ VINH
KTAGG,AGG,8810,THÀNH PHỐ LONG XUYÊN
VLGABH,VLG,,
OPK,HNI,1310,HUYỆN GIA LÂM
HNI037,HNI,,
DCT,HNI,1270,QUẬN HOÀNG MAI
VLG01,VLG,8913,HUYỆN LONG HỒ
CUL,VLG,8913,HUYỆN LONG HỒ
HNN,BDH,5932,HUYỆN HOÀI NHƠN
DNI,DNI,8110,THÀNH PHỐ BIÊN HÒA
QNN,BDH,5910,THÀNH PHỐ QUI NHƠN
HCM03,HCM,7100,QUẬN 1
MATH,NAN,4662,HUYỆN YÊN THÀNH
CPHA,BDG,8231,THỊ XÃ BẾN CÁT
BDGKHL,BDG,8239,THÀNH PHỐ THUẬN AN
HAQY,DNG,,
DVCMN,LOG,,
ANN,BDH,5920,THỊ XÃ AN NHƠN
XPN,FFM,7380,HUYỆN BÌNH CHÁNH
TTKV4,LOG,,
VCH,BDH,5945,HUYỆN VÂN CANH
7109,NDH,,
HBNDNP,NDH,,
TNHTTC,TNH,8433,THỊ XÃ TRẢNG BÀNG
HNMNT,HNM,4027,HUYỆN KIM BẢNG
LIYN,HNI,1529,HUYỆN HOÀI ĐỨC
HNI038,HNI,1280,QUẬN BẮC TỪ LIÊM
VHTH,KHA,6510,THÀNH PHỐ NHA TRANG
HBPTTM,PHO,2910,THÀNH PHỐ VIỆT TRÌ
TOQN,DNG,,
ABH,CTO,9010,QUẬN NINH KIỀU
HBHCQ5,HCM,7400,QUẬN 10
HBHUHU,HUE,5310,THÀNH PHỐ HUẾ
SDU,KHA,6552,Huyện Cam Lâm
HGHM,HNI,,
HGMI,HNI,,
KHNI,LOG,,
HBTHNS,THA,4437,HUYỆN NGA SƠN
HBDBMC,DBN,3833,HUYỆN MƯỜNG CHÀ
NNN,HNI,1200,QUẬN THANH XUÂN
LBNG,HNI,1250,QUẬN LONG BIÊN
TTT,HNI,1553,HUYỆN THẠCH THẤT
LCN,BPC,8325,HUYỆN LỘC NINH
MCI,QNH,2068,THÀNH PHỐ MÓNG CÁI
CHSMC,LCI,3316,HUYỆN SI MA CAI
CH0265,NDH,,
PNVDT,CNTCT,,
HBLSTD,LSN,2431,HUYỆN TRÀNG ĐỊNH
HBYBMC,YBN,3261,HUYỆN MÙ CĂNG CHẢI
MTO,TGG,8610,THÀNH PHỐ MỸ THO
TNANG,LAN,8510,THÀNH PHỐ TÂN AN
KTBDH,BDH,5910,THÀNH PHỐ QUI NHƠN
CDN,HNI,1260,QUẬN NAM TỪ LIÊM
CHKGSX,KGG,9216,HUYỆN HÒN ĐẤT
HBQNTU,QNI,5710,THÀNH PHỐ QUẢNG NGÃI
CH0536,NTN,6629,HUYỆN BÁC ÁI
CH0227,HNM,,
VQN,HNI,1510,QUẬN HÀ ĐÔNG
HBCBQH,CBG,2779,HUYỆN QUẢNG HÒA
CH0623,TGG,,
KCG,HUG,9118,HUYỆN PHỤNG HIỆP
CH0221,HDG,1738,THỊ XÃ KINH MÔN
HBHCLG,HCM,7150,QUẬN 9
TNH,TNH,8410,THÀNH PHỐ TÂY NINH
XAN,BTN,8010,THÀNH PHỐ PHAN THIẾT
HBYBTY,YBN,3233,HUYỆN TRẤN YÊN
CH0637,TNH,,
CH0303,NAN,,
LCI,LCI,3334,THÀNH PHỐ LÀO CAI
HBYBLY,YBN,3226,HUYỆN LỤC YÊN
CH0062,TNN,,
HBCMTB,CMU,9718,HUYỆN THỚI BÌNH
HBDNTN,DNI,8137,HUYỆN THỐNG NHẤT
HBHCLT,HCM,7200,QUẬN THỦ ĐỨC
CH0584,DKG,6413,HUYỆN ĐẮK RLẤP
QBTN,HCM,7380,HUYỆN BÌNH CHÁNH
CH0574,BTE,,
CH0184,SLA,3668,HUYỆN SÔNG MÃ
BOH,BGG,2347,HUYỆN YÊN THẾ
CH0150,LCI,,
NBE,HCM,7580,HUYỆN NHÀ BÈ
CVI,HNI,1180,QUẬN BA ĐÌNH
VSIP,BDG,8239,THÀNH PHỐ THUẬN AN
BHH,HCM,7620,QUẬN BÌNH TÂN
CH0675,BLU,,
HBPTPT,PHO,2935,THI XÃ PHÚ THỌ
CH0259,NDH,,
QTM,SLA,3610,THÀNH PHỐ SƠN LA
PCNTT,CNTCT,1220,QUẬN CẦU GIẤY
PMI,HNI,1150,QUẬN ĐỐNG ĐA
HBNAKS,NAN,4738,HUYỆN KỲ SƠN
CH0072,TQG,,
HBHTCX,HTH,4876,HUYỆN CẨM XUYÊN
HBTNCG,TNH,,
LSN002,LSN,,
HBHDCH,HDG,,
LOGTTI,LOG,,
CH0341,QBH,5115,HUYỆN BỐ TRẠCH
STN,BDG,8246,THÀNH PHỐ DĨ AN
PCTN,DNI,8110,THÀNH PHỐ BIÊN HÒA
12114,HNI,,
SDC,DTP,8731,THÀNH PHỐ SA ĐÉC
NCH,HNI,1200,QUẬN THANH XUÂN
HBHNBG,HNI,1310,HUYỆN GIA LÂM
KTDTG,LDG,6733,HUYỆN ĐỨC TRỌNG
KHALHP,KHA,6510,THÀNH PHỐ NHA TRANG
CH0732,KGG,,
VCG,BNH,2210,THÀNH PHỐ BẮC NINH
TQG,TQG,3010,THÀNH PHỐ TUYÊN QUANG
CH0522,LDG,6755,HUYỆN CÁT TIÊN
CH0346,THA,,
HBDTCH,DTP,8740,HUYỆN CAO LÃNH
13924,HNI,,
HBBKBB,BKN,2627,HUYỆN BA BỂ
HAGBHA,HNI,1567,HUYỆN THANH OAI
CH0380,HUE,,
CH0422,QNM,5630,HUYỆN QUẾ SƠN
MYDG,HPG,1830,HUYỆN THỦY NGUYÊN
OSSLA,SLA,3610,THÀNH PHỐ SƠN LA
CH0054,LSN,,
D00093,DNG,,
PRI,BTN,8023,HUYỆN TUY PHONG
HTHVQG,HTH,4866,HUYỆN VŨ QUANG
CH0014,BKN,2623,HUYỆN NGÂN SƠN
QNISHA,QNI,5726,HUYỆN SƠN HÀ
GLIKBG,GLI,6026,HUYỆN KBANG
HNI007,HNI,,
MTH,HNI,1260,QUẬN NAM TỪ LIÊM
HBBPBD,BPC,8317,HUYỆN BÙ ĐĂNG
HBDTTH,DTP,8719,HUYỆN TÂN HỒNG
HBDTHN,DTP,8741,THỊ XÃ HỒNG NGỰ
CH0094,HCM,,
11310,HNI,,
BHDG,BGG,2361,HUYỆN VIỆT YÊN
LTTO,HNI,1100,QUẬN HOÀN KIẾM
NHHA,KHA,6529,THỊ XÃ NINH HÒA
4813,HPG,,
TTHPH,LOG,,
OSHTH,HTH,4810,THÀNH PHỐ HÀ TĨNH
HBHDHD,HDG,1710,THÀNH PHỐ HẢI DƯƠNG
MNN,HUG,9125,HUYỆN CHÂU THÀNH A
CH0497,GLI,6010,THÀNH PHỐ PLEIKU
CH0528,LDG,,
HBDLKA,DLK,6366,HUYỆN KRÔNG A NA
HBKGKL,KGG,9218,HUYỆN KIÊN LƯƠNG
TTU,HNI,1340,HUYỆN THANH TRÌ
CH0672,BLU,,
HBNAQP,NAN,4711,HUYỆN QUẾ PHONG
OSNAN,NAN,4610,THÀNH PHỐ VINH
CH0666,AGG,,
CH0792,HNI,1510,QUẬN HÀ ĐÔNG
OSLAN,LAN,8510,THÀNH PHỐ TÂN AN
CH0362,THA,,
DDA,HNI,1150,QUẬN ĐỐNG ĐA
HBYBYH,YBN,3219,HUYỆN YÊN BÌNH
CHKGAT,KGG,9222,HUYỆN PHÚ QUỐC
HNIHAG,HNI,,
HBHPLC,HPG,1836,QUẬN LÊ CHÂN
HNI034,HNI,1390,HUYỆN SÓC SƠN
NTUN,BDG,8223,THỊ XÃ TÂN UYÊN
BNL,LAN,8523,HUYỆN BẾN LỨC
CH0082,HCM,,
HBHTDT,HTH,4849,HUYỆN ĐỨC THỌ
BMTG,DLK,6310,THÀNH PHỐ BUÔN MA THUỘT
CHTUD,VPC,2818,HUYỆN LẬP THẠCH
BDGVC,BDG,8239,THÀNH PHỐ THUẬN AN
CH0037,HGG,3139,HUYỆN HOÀNG SU PHÌ
CH0355,THA,,
HBQNHK,QNH,2010,THÀNH PHỐ HẠ LONG
CH0308,NAN,,
MLO,HNI,1510,QUẬN HÀ ĐÔNG
CH0247,HYN,1618,HUYỆN ÂN THI
TXN,HNI,1200,QUẬN THANH XUÂN
CH0084,HCM,7270,QUẬN GÒ VẤP
HHMXTI,HCM,7310,HUYỆN HÓC MÔN
CH0686,CMU,,
CH0639,TNH,,
CH0005,BGG,,
PNG,KHA,6510,THÀNH PHỐ NHA TRANG
HBTHBT,THA,4481,HUYỆN BÁ THƯỚC
HBBGLM,BGG,2318,HUYỆN LỤC NAM
HBHCBG,HCM,7380,HUYỆN BÌNH CHÁNH
TXT,HNI,1200,QUẬN THANH XUÂN
LHU,LAN,8531,HUYỆN CẦN GIUỘC
HBCMUM,CMU,9721,HUYỆN U MINH
LGHA,LAN,8523,HUYỆN BẾN LỨC
PXL,HCM,7250,QUẬN PHÚ NHUẬN
CHDGDS,DKG,6416,HUYỆN ĐẮK SONG
TQD,HNI,1150,QUẬN ĐỐNG ĐA
CH0533,LDG,,
DNC,QNM,5642,THỊ XÃ ĐIỆN BÀN
VIHHG,HNI,,
TGG,TGG,8610,THÀNH PHỐ MỸ THO
71116,HCM,,
NNHG,HNI,1180,QUẬN BA ĐÌNH
YSNG,TQG,3010,THÀNH PHỐ TUYÊN QUANG
THL,HNM,4033,HUYỆN THANH LIÊM
BLUDHI,BLU,9629,HUYỆN ĐÔNG HẢI
CH0544,PYN,,
CHDNLC,DNG,5557,QUẬN LIÊN CHIỂU
CH0050,LSN,,
MTNBG,LOG,9028,QUẬN BÌNH THỦY
CH0008,BGG,,
LVS,HCM,7360,QUẬN TÂN BÌNH
TYT,HCM,7600,QUẬN TÂN PHÚ
TLM,HNI,1260,QUẬN NAM TỪ LIÊM
CH0484,DLK,,
LCSN,LDG,6743,HUYỆN BẢO LÂM
HGGA,HCM,7560,QUẬN 7
CH0538,NTN,6610,THÀNH PHỐ PHAN RANG-THÁP CHÀM
HBDBML,DBN,3839,THỊ XÃ MƯỜNG LAY
CH0253,HYN,1616,HUYỆN PHÙ CỪ
CH0725,KGG,9210,THÀNH PHỐ RẠCH GIÁ
TUY,HDG,1765,HUYỆN TỨ KỲ
CH0716,HUG,,
OSLDG,LDG,,
CH0722,HUG,,
HBQBSG,QBH,,
TTRI,HNI,1270,QUẬN HOÀNG MAI
CH0567,BPC,8333,HUYỆN CHƠN THÀNH
CH0661,AGG,,
TNTN,CMU,9730,HUYỆN ĐẦM DƠI
CH0575,BTE,,
BTG,LCI,3341,HUYỆN BẢO THẮNG
LHN,HNI,1270,QUẬN HOÀNG MAI
HBTQHY,TQG,3055,HUYỆN HÀM YÊN
CH0343,THA,4538,HUYỆN NÔNG CỐNG
TMC,DTP,8717,HUYỆN TAM NÔNG
CH0690,CTO,,
D00148,TNH,,
HBKGHT,KGG,9220,THÀNH PHỐ HÀ TIÊN
VPT,CNTCT,,
CH0778,HNI,,
11713,HNI,,
HBDBNP,DBN,3841,HUYỆN NẬM PỒ
HXH,HCM,7170,QUẬN BÌNH THẠNH
PLA,HNI,1510,QUẬN HÀ ĐÔNG
CH0088,HCM,7100,QUẬN 1
LCNG,HPG,1836,QUẬN LÊ CHÂN
CH0122,HCM,7200,QUẬN THỦ ĐỨC
CNM,HNI,1100,QUẬN HOÀN KIẾM
CHKGG,HNI,1200,QUẬN THANH XUÂN
HBHYKC,HYN,1625,HUYỆN KHOÁI CHÂU
HBBKNS,BKN,2623,HUYỆN NGÂN SƠN
13926,HNI,,
HBHNLB,HNI,1250,QUẬN LONG BIÊN
VTU01,VTU,7910,THÀNH PHỐ VŨNG TÀU
DIH,HNI,1420,HUYỆN MÊ LINH
HBNBKS,NBH,4339,HUYỆN KIM SƠN
11306,HNI,,
TBG,TNH,8433,THỊ XÃ TRẢNG BÀNG
CH0334,QBH,5128,HUYỆN TUYÊN HÓA
